n,t_us,dec,bin,hex,volts
0,1026,1459,010110110011,0x5B3,1.181452
1,4017,2181,100010000101,0x885,1.766104
2,6115,2628,101001000100,0xA44,2.128070
3,8385,2986,101110101010,0xBAA,2.417967
4,10613,3137,110001000001,0xC41,2.540242
5,12878,3054,101111101110,0xBEE,2.473031
6,15112,2757,101011000101,0xAC5,2.232530
7,17391,2301,100011111101,0x8FD,1.863276
8,19639,1750,011011010110,0x6D6,1.417094
9,21655,1281,010100000001,0x501,1.037313
10,23889,845,001101001101,0x34D,0.684254
11,25930,600,001001011000,0x258,0.485861
12,62453,585,001001001001,0x249,0.473714
13,65460,976,001111010000,0x3D0,0.790334
14,67799,1480,010111001000,0x5C8,1.198457
15,70051,2022,011111100110,0x7E6,1.637351
16,72310,2545,100111110001,0x9F1,2.060860
17,74578,2923,101101101011,0xB6B,2.366952
18,76715,3117,110000101101,0xC2D,2.524047
19,78941,3099,110000011011,0xC1B,2.509471
20,81202,2854,101100100110,0xB26,2.311078
21,83326,2460,100110011100,0x99C,1.992029
22,85573,1932,011110001100,0x78C,1.564472
23,87827,1395,010101110011,0x573,1.129626
24,90081,923,001110011011,0x39B,0.747416
25,94996,547,001000100011,0x223,0.442943
26,97999,838,001101000110,0x346,0.678586
27,100330,1294,010100001110,0x50E,1.047840
28,102620,1821,011100011101,0x71D,1.474588
29,104864,2373,100101000101,0x945,1.921580
30,107122,2811,101011111011,0xAFB,2.276258
31,109249,3072,110000000000,0xC00,2.487607
32,111475,3133,110000111101,0xC3D,2.537003
33,113727,2967,101110010111,0xB97,2.402582
34,115978,2596,101000100100,0xA24,2.102158
35,118257,2093,100000101101,0x82D,1.694844
36,120488,1545,011000001001,0x609,1.251092
37,122750,1048,010000011000,0x418,0.848637
38,124985,694,001010110110,0x2B6,0.561979
39,127238,540,001000011100,0x21C,0.437275
40,129476,613,001001100101,0x265,0.496388
41,131720,902,001110000110,0x386,0.730411
42,133957,1357,010101001101,0x54D,1.098855
43,136177,1885,011101011101,0x75D,1.526413
44,138409,2421,100101110101,0x975,1.960448
45,140646,2841,101100011001,0xB19,2.300551
46,142864,3092,110000010100,0xC14,2.503803
47,145073,3126,110000110110,0xC36,2.531335
48,147309,2938,101101111010,0xB7A,2.379098
49,152198,1932,011110001100,0x78C,1.564472
50,155192,1235,010011010011,0x4D3,1.000064
51,157523,800,001100100000,0x320,0.647814
52,159776,564,001000110100,0x234,0.456709
53,162017,564,001000110100,0x234,0.456709
54,164271,774,001100000110,0x306,0.626760
55,166519,1192,010010101000,0x4A8,0.965243
56,168805,1720,011010111000,0x6B8,1.392801
57,171057,2264,100011011000,0x8D8,1.833315
58,173287,2726,101010100110,0xAA6,2.207428
59,175521,3036,101111011100,0xBDC,2.458456
