n,t_us,dec,bin,hex,volts
0,1020,556,001000101100,0x22C,0.450231
1,4022,532,001000010100,0x214,0.430797
2,6340,548,001000100100,0x224,0.443753
3,8614,592,001001010000,0x250,0.479383
4,10873,659,001010010011,0x293,0.533637
5,13112,747,001011101011,0x2EB,0.604897
6,15363,862,001101011110,0x35E,0.698020
7,17639,990,001111011110,0x3DE,0.801670
8,19908,1147,010001111011,0x47B,0.928804
9,22159,1307,010100011011,0x51B,1.058367
10,24400,1482,010111001010,0x5CA,1.200076
11,26663,1653,011001110101,0x675,1.338546
12,28888,1836,011100101100,0x72C,1.486734
13,64168,2872,101100111000,0xB38,2.325654
14,67172,2705,101010010001,0xA91,2.190422
15,69511,2559,100111111111,0x9FF,2.072196
16,71768,2403,100101100011,0x963,1.945873
17,73998,2233,100010111001,0x8B9,1.808212
18,76234,2053,100000000101,0x805,1.662454
19,78477,1866,011101001010,0x74A,1.511027
20,80750,1678,011010001110,0x68E,1.358791
21,82980,1510,010111100110,0x5E6,1.222750
22,85224,1332,010100110100,0x534,1.078611
23,87486,1166,010010001110,0x48E,0.944189
24,89735,1017,001111111001,0x3F9,0.823534
25,94643,749,001011101101,0x2ED,0.606516
26,97670,634,001001111010,0x27A,0.513393
27,99988,573,001000111101,0x23D,0.463997
28,102247,540,001000011100,0x21C,0.437275
29,104496,534,001000010110,0x216,0.432416
30,106761,556,001000101100,0x22C,0.450231
31,108991,601,001001011001,0x259,0.486671
32,111258,675,001010100011,0x2A3,0.546593
33,113492,762,001011111010,0x2FA,0.617043
34,115730,882,001101110010,0x372,0.714215
35,117971,1017,001111111001,0x3F9,0.823534
36,120217,1174,010010010110,0x496,0.950668
37,122453,1331,010100110011,0x533,1.077801
38,124679,1505,010111100001,0x5E1,1.218701
39,126924,1675,011010001011,0x68B,1.356361
40,129191,1862,011101000110,0x746,1.507788
41,131425,2050,100000000010,0x802,1.660024
42,133677,2224,100010110000,0x8B0,1.800924
43,135927,2394,100101011010,0x95A,1.938585
44,138171,2558,100111111110,0x9FE,2.071386
45,140414,2701,101010001101,0xA8D,2.187183
46,142655,2827,101100001011,0xB0B,2.289214
47,144925,2936,101101111000,0xB78,2.377479
48,147159,3024,101111010000,0xBD0,2.448738
49,152051,3128,110000111000,0xC38,2.532954
50,155032,3136,110001000000,0xC40,2.539432
51,157359,3108,110000100100,0xC24,2.516759
52,159613,3065,101111111001,0xBF9,2.481939
53,161840,2978,101110100010,0xBA2,2.411489
54,164069,2878,101100111110,0xB3E,2.330512
55,166333,2758,101011000110,0xAC6,2.233340
56,168566,2619,101000111011,0xA3B,2.120782
57,170821,2474,100110101010,0x9AA,2.003366
58,172840,2321,100100010001,0x911,1.879472
59,175102,2144,100001100000,0x860,1.736143
