Tiempo_ms	Voltaje_V
1	0.83649
3	0.83408
4	0.82763
5	0.83569
6	0.82844
7	0.83810
8	0.83005
9	0.83810
10	0.83730
12	0.83569
13	0.82844
14	0.83569
15	0.83247
16	0.84133
17	0.83649
18	0.83408
19	0.83569
20	0.83488
22	0.83327
23	0.83972
24	0.83891
25	0.83649
26	0.83488
27	0.83649
28	0.83488
30	0.83569
31	0.83408
32	0.84536
33	0.82924
34	0.83408
35	0.83327
36	0.83569
37	0.83810
39	0.83649
40	0.83569
41	0.83327
42	0.83488
43	0.83569
44	0.83569
46	0.83488
47	0.83327
48	0.83488
49	0.83810
50	0.83327
51	0.83327
52	0.83327
54	0.83488
55	0.83166
56	0.83649
57	0.83166
58	0.83247
59	0.83569
61	0.83327
62	0.83408
63	0.83649
64	0.83408
65	0.83569
67	0.83810
68	0.83488
69	0.83408
70	0.83810
71	0.83327
73	0.82924
74	0.83730
75	0.83569
76	0.83408
77	0.83488
79	0.83891
80	0.83327
81	0.84133
82	0.80341
84	0.83166
85	0.87436
86	0.83408
88	0.83569
89	0.83005
90	0.83488
91	0.83327
92	0.83972
94	0.83810
95	0.83569
96	0.83891
97	0.79535
99	0.83166
100	0.83649
101	0.82521
102	0.83327
104	0.83488
105	0.83247
106	0.83649
107	0.83649
109	0.83247
110	0.83488
111	0.83649
112	0.83810
114	0.83488
115	0.83247
116	0.83649
118	0.83730
119	0.83972
164	0.83891
166	0.83810
167	0.83488
168	0.83488
169	0.83247
170	0.84052
171	0.83247
172	0.83569
173	0.83569
174	0.83649
175	0.82521
177	0.83408
178	0.84777
179	0.83569
180	0.83810
181	0.82844
182	0.83247
183	0.83408
184	0.83488
185	0.83569
187	0.83488
188	0.83247
189	0.83488
190	0.80341
191	0.84133
192	0.83488
193	0.83569
194	0.83166
196	0.83569
197	0.83569
198	0.83730
199	0.83649
200	0.83408
201	0.83327
203	0.83327
204	0.83891
205	0.82844
206	0.83488
207	0.83730
208	0.83408
210	0.83649
211	0.83488
212	0.83569
213	0.84133
214	0.78085
216	0.83649
217	0.83649
218	0.83408
219	0.83488
221	0.84133
222	0.84133
223	0.83810
224	0.83649
225	0.83569
227	0.83891
228	0.83569
229	0.83247
230	0.82763
231	0.83891
233	0.83891
