Tiempo_ms	Voltaje_V
1	1.38929
3	1.38848
4	1.38607
5	1.38687
6	1.38043
7	1.39009
8	1.38687
9	1.38687
10	1.38768
12	1.38687
13	1.38123
14	1.38607
15	1.38848
16	1.38848
17	1.39412
18	1.38848
19	1.39090
20	1.38768
22	1.38687
23	1.39251
24	1.39009
25	1.38768
26	1.38768
27	1.38848
28	1.38848
29	1.38445
31	1.39009
32	1.39332
33	1.38848
34	1.38848
35	1.38768
36	1.38768
37	1.39332
38	1.39251
40	1.41507
41	1.38687
42	1.38607
43	1.38768
44	1.38848
45	1.38687
46	1.36995
48	1.38284
49	1.38365
50	1.38768
51	1.37156
52	1.38607
54	1.38768
55	1.38284
56	1.38687
57	1.39009
58	1.38687
59	1.38929
61	1.38687
62	1.39009
63	1.39009
64	1.38043
65	1.38768
67	1.38768
68	1.38768
69	1.38607
70	1.38768
71	1.39251
72	1.38768
74	1.38445
75	1.38929
76	1.38445
77	1.38768
78	1.37317
80	1.38848
81	1.38445
82	1.38848
83	1.38607
85	1.38768
86	1.38768
87	1.39412
88	1.39090
89	1.38123
91	1.38848
92	1.38848
93	1.38848
94	1.38365
96	1.38687
97	1.38687
98	1.38768
99	1.38365
100	1.38929
102	1.38768
103	1.38687
104	1.38687
105	1.38929
107	1.38848
108	1.38848
109	1.38768
111	1.38929
112	1.39332
113	1.39412
114	1.38929
116	1.39009
117	1.38445
118	1.38929
233	1.38687
235	1.38445
236	1.38687
237	1.38687
238	1.38607
239	1.38687
241	1.38445
242	1.38848
243	1.38687
244	1.38284
245	1.38687
246	1.38848
247	1.38768
248	1.38687
249	1.38526
250	1.39090
251	1.38687
253	1.38687
254	1.38768
255	1.38607
256	1.38687
257	1.39251
258	1.39493
259	1.38687
260	1.38687
261	1.38445
263	1.39251
264	1.38204
265	1.38607
266	1.38848
267	1.38204
268	1.38445
269	1.39976
271	1.38365
272	1.38768
273	1.39976
274	1.39573
275	1.38768
277	1.39009
278	1.38929
279	1.38768
280	1.39090
282	1.38687
283	1.38607
284	1.38687
285	1.38445
286	1.37962
287	1.38768
289	1.38204
290	1.38284
291	1.38365
292	1.38445
293	1.38607
294	1.38848
296	1.37962
297	1.38365
298	1.38768
299	1.38204
300	1.38929
301	1.39009
303	1.38607
304	1.38687
305	1.38848
306	1.38929
308	1.38929
309	1.38365
310	1.38768
311	1.38445
312	1.38768
314	1.38929
315	1.38768
316	1.39090
317	1.38607
319	1.38768
320	1.39090
321	1.38848
322	1.38445
323	1.38768
325	1.38607
326	1.38768
327	1.38687
328	1.38768
330	1.38365
331	1.38687
332	1.38284
334	1.38123
335	1.38445
336	1.38848
337	1.38445
339	1.38929
340	1.38848
341	1.38687
342	1.38929
344	1.38929
345	1.38284
346	1.38768
348	1.39332
349	1.38848
350	1.39009
351	1.38848
396	1.38768
397	1.39976
398	1.38445
399	1.34175
401	1.38687
402	1.38365
403	1.38687
404	1.38445
405	1.40057
406	1.38687
407	1.39009
408	1.39251
409	1.38768
410	1.38848
411	1.38687
412	1.39009
414	1.38445
415	1.38687
416	1.38284
417	1.38848
418	1.38607
419	1.38607
420	1.38607
421	1.38687
423	1.39090
424	1.39009
425	1.38445
426	1.38768
427	1.38687
428	1.38687
429	1.38687
430	1.38607
432	1.38607
433	1.38445
434	1.38607
