Valor_ADC_12bits	Frecuencia
1646	1
1650	1
1651	1
1652	5
1653	6
1654	1
1656	2
1658	1
1659	2
1664	1
1665	1
1666	1
1667	1
1669	1
1672	3
1676	1
1678	1
1680	1
1681	2
1682	1
1684	2
1685	3
1686	5
1688	2
1689	5
1690	5
1691	1
1692	4
1693	5
1694	4
1695	2
1696	4
1697	8
1698	5
1699	7
1700	8
1701	8
1702	7
1703	1
1704	12
1705	12
1706	13
1707	21
1708	31
1709	31
1710	41
1711	21
1712	89
1713	92
1714	136
1715	183
1716	306
1717	463
1718	705
1719	142
1720	1197
1721	1484
1722	1394
1723	1067
1724	733
1725	508
1726	316
1727	46
1728	204
1729	154
1730	102
1731	79
1732	44
1733	32
1734	33
1735	4
1736	14
1737	16
1738	11
1739	15
1740	8
1741	9
1742	5
1744	10
1745	7
1746	2
1747	5
1748	3
1749	4
1750	4
1751	1
1752	3
1753	2
1754	4
1755	2
1756	6
1757	2
1758	2
1759	4
1760	2
1761	2
1762	3
1763	1
1765	1
1766	1
1767	1
1768	2
1769	2
1770	2
1771	1
1772	4
1773	1
1774	3
1775	2
1776	2
1777	1
1779	2
1780	1
1782	1
1784	2
1785	1
1793	1
1797	2
1800	1
1801	1
1802	2
1803	1
