Tiempo_ms	Voltaje_V
0	3.05019
2	3.04697
3	3.05100
4	3.04052
5	3.05100
6	3.04858
8	3.04858
9	3.04938
10	3.04938
11	3.04616
12	3.05583
13	3.05100
14	3.05100
15	3.04616
17	3.05664
18	3.04697
19	3.04938
20	3.02521
21	3.05019
22	3.04938
23	3.05019
24	3.05341
26	3.05583
27	3.04858
28	3.04938
29	3.04777
30	3.04938
31	3.04938
32	3.05341
34	3.05100
35	3.05100
36	3.04536
37	3.05261
38	3.05100
39	3.05019
41	3.04938
42	3.05019
43	3.04938
44	3.05261
45	3.05100
46	3.04697
47	3.04938
49	3.05261
50	3.05261
51	3.04777
52	3.05341
53	3.05261
55	3.05261
56	3.04777
57	3.04777
58	3.05261
59	3.06389
61	3.04938
62	3.05019
63	3.07275
64	3.05019
65	3.04938
66	3.05341
67	3.07033
69	3.04536
70	3.04777
71	3.04536
72	3.05100
74	3.04938
75	3.00910
76	3.05664
78	3.05100
79	3.04938
80	3.05341
81	3.05019
82	3.04536
84	3.05664
85	3.04777
86	3.04938
87	3.05100
89	3.05019
90	3.05100
91	3.04938
92	3.05019
93	3.04697
95	3.05019
96	3.04455
97	3.04777
98	3.04697
99	3.05180
101	3.04777
102	3.05019
103	3.04777
104	3.04616
106	3.04938
107	3.03891
108	3.05422
110	3.04938
111	3.04938
112	3.05019
113	3.04938
115	3.04938
116	3.05744
117	3.04938
118	3.04938
169	3.05180
171	3.04616
172	3.05422
173	3.04938
174	3.04938
175	3.05019
176	3.05825
178	3.04697
179	3.05019
180	3.05100
181	3.04697
182	3.05019
183	3.05100
184	3.05744
185	3.05261
187	3.05100
188	3.05341
189	3.05100
190	3.04052
191	3.05100
192	3.05100
193	3.05341
194	3.05664
196	3.05100
197	3.05100
198	3.05019
199	3.04133
200	3.04374
201	3.04697
202	3.05019
203	3.05019
204	3.05180
206	3.05180
207	3.05261
208	3.04777
209	3.05019
210	3.05664
211	3.05180
212	3.05100
214	3.05261
215	3.05019
216	3.04536
217	3.05502
218	3.04294
219	3.05100
221	3.04697
222	3.05180
223	3.05341
224	3.04455
225	3.04938
227	3.07033
228	3.05019
229	3.05019
230	3.04777
231	3.05341
232	3.04938
234	3.05019
235	3.05019
236	3.04616
237	3.04697
238	3.05019
239	3.04052
241	3.04777
242	3.05100
243	3.04455
244	3.05100
245	3.05019
247	3.05019
248	3.04777
249	3.04294
250	3.02602
251	3.05100
253	3.04536
254	3.05019
255	3.05261
256	3.05100
258	3.05583
259	3.05664
260	3.05019
261	3.05100
262	3.05100
264	3.04938
265	3.05019
266	3.04616
267	3.05341
269	3.05100
270	3.05100
271	3.05019
272	3.05100
274	3.05019
275	3.04536
276	3.05019
277	3.05583
279	3.05261
280	3.05019
281	3.05100
282	3.04938
284	3.06791
285	3.05100
287	3.04777
427	3.04777
429	3.05100
430	3.04616
431	3.04777
432	3.05261
433	3.04938
434	3.05341
435	3.05100
436	3.04697
438	3.04777
439	3.04938
440	3.04938
441	3.05100
442	3.04697
443	3.05100
444	3.04697
445	3.04938
447	3.04697
448	3.04536
449	3.05422
450	3.04294
451	3.05583
452	3.05180
453	3.05180
455	3.04938
456	3.05341
457	3.04938
458	3.05261
459	3.05422
460	3.04294
461	3.04938
463	3.04536
464	3.04938
465	3.04938
466	3.04374
467	3.04536
468	3.04294
470	3.05019
471	3.05180
472	3.05180
473	3.05100
474	3.04777
475	3.05261
477	3.04938
478	3.05341
479	3.04777
480	3.04938
481	3.04455
482	3.04616
484	3.05019
485	3.04697
486	3.04697
487	3.05261
488	3.05180
490	3.06308
491	3.05019
492	3.04374
493	3.05986
494	3.05019
495	3.04294
501	3.06630
503	3.05019
504	3.05019
505	3.04938
506	3.05341
508	3.04374
509	3.04938
510	3.05019
511	3.04777
513	3.05100
514	3.05019
515	3.04374
516	3.06872
518	3.04777
519	3.05019
520	3.04294
521	3.04777
523	3.04777
524	3.04938
525	3.08000
527	3.04938
528	3.04938
529	3.04938
531	3.05100
532	3.05100
533	3.05100
535	3.05100
536	3.05261
537	3.05100
539	3.04777
540	3.05261
541	3.05180
542	3.05422
544	3.05261
545	3.05422
546	3.04616
548	3.04294
549	3.06147
550	3.00588
552	3.04777
609	3.05261
611	3.04536
612	3.04374
613	3.04777
614	3.04777
615	3.05422
617	3.05422
618	3.05341
619	3.05100
620	3.05180
621	3.05019
622	3.05100
623	3.04938
624	3.05341
625	3.04697
626	3.04938
628	3.04697
629	3.04777
630	3.04938
631	3.04616
632	3.04777
633	3.04697
634	3.05422
635	3.04938
637	3.05019
638	3.04616
639	3.05019
640	3.05019
641	3.05261
642	3.05180
643	3.05100
644	3.04858
645	3.03408
647	3.04938
648	3.05019
649	3.05019
650	3.04455
651	3.05100
652	3.04374
654	3.05019
655	3.05180
656	3.04455
657	3.04777
658	3.04374
659	3.05261
661	3.05019
662	3.05019
663	3.05019
664	3.05341
665	3.04938
666	3.05019
667	3.05583
668	3.04616
670	3.04777
671	3.04938
672	3.04294
673	3.05100
674	3.05019
676	3.04052
677	3.05825
678	3.04777
679	3.04938
680	3.05341
682	3.05905
683	3.04294
684	3.05100
685	3.04374
687	3.05100
688	3.04697
689	3.04938
690	3.05502
692	3.05422
693	3.04938
694	3.04938
695	3.05341
697	3.05100
698	3.04938
699	3.05583
700	3.04616
702	3.05341
703	3.04938
704	3.04777
705	3.05019
707	3.05341
708	3.05341
709	3.04938
710	3.04697
712	3.04777
713	3.04938
714	3.05341
716	3.05825
717	3.05341
718	3.03891
720	3.04697
721	3.04777
722	3.04938
723	3.05019
725	3.05100
726	3.05986
727	3.05664
826	3.05744
827	3.04938
829	3.04938
830	3.05261
831	3.04616
832	3.06228
833	3.04938
834	3.05100
835	3.04536
836	3.04938
838	3.05019
839	3.04777
840	3.05100
841	3.05180
842	3.04777
843	3.04616
844	3.04616
845	3.04294
846	3.05019
847	3.04536
848	3.04616
850	3.04938
851	3.04697
852	3.04133
853	3.05100
854	3.05341
855	3.04938
856	3.05583
858	3.05261
859	3.05261
860	3.04938
861	3.05341
862	3.05100
863	3.05261
865	3.04777
866	3.03005
867	3.05261
868	3.04536
869	3.04938
870	3.04858
872	3.05100
873	3.04938
874	3.05422
875	3.04536
876	3.04938
878	3.05664
879	3.05100
880	3.05180
881	3.05100
882	3.04294
884	3.05019
885	3.04938
886	3.05180
887	3.05019
888	3.05019
889	3.04616
890	3.04938
892	3.05019
893	3.05100
894	3.04616
895	3.05019
896	3.07194
897	3.04938
899	3.05422
900	3.05502
901	3.05180
902	3.04616
904	3.05019
905	3.04938
906	3.04938
907	3.05180
908	3.05019
910	3.05100
911	3.04294
912	3.04938
913	3.04697
915	3.04455
916	3.05100
917	3.04777
918	3.04858
920	3.05180
921	3.04616
922	3.04536
923	3.05180
925	3.07758
926	3.04616
932	3.05100
934	3.05261
935	3.05180
936	3.04858
938	3.04938
939	3.04536
940	3.05261
942	3.05100
943	3.04938
944	3.04777
946	3.04697
947	3.05422
948	3.05261
950	3.03972
1000	3.05019
1002	3.04294
1003	3.05019
1004	3.05019
1005	3.04938
1006	3.05100
1007	3.04294
1008	3.04294
1009	3.04697
1010	3.04938
1012	3.05180
1013	3.04777
1014	3.05422
1015	3.05341
1016	3.04777
1017	3.05019
1018	3.05100
1019	3.05180
1020	3.05341
1022	3.04294
1023	3.05100
1024	3.05583
1025	3.04938
1026	3.05180
1027	3.05019
1028	3.04777
1029	3.03649
1031	3.05261
1032	3.05180
1033	3.04697
1034	3.05019
1035	3.04777
1036	3.05341
1037	3.05100
1039	3.05422
1040	3.05100
1041	3.04616
1042	3.05261
1043	3.04697
1045	3.05019
1046	3.04938
1047	3.05100
1048	3.04938
1049	3.05019
1050	3.05905
