Valor_ADC_12bits	Frecuencia
3709	1
3710	1
3712	3
3713	1
3714	3
3715	1
3716	1
3717	1
3718	1
3719	1
3720	2
3721	4
3722	1
3723	2
3724	2
3725	3
3726	2
3728	1
3730	1
3732	3
3734	4
3736	7
3738	1
3739	1
3740	1
3741	2
3742	3
3744	1
3746	2
3747	2
3748	4
3749	8
3750	3
3751	1
3752	2
3753	2
3754	5
3755	4
3756	5
3757	5
3758	5
3759	1
3760	6
3761	8
3762	6
3763	9
3764	5
3765	10
3766	12
3767	4
3768	16
3769	13
3770	22
3771	27
3772	37
3773	46
3774	61
3775	12
3776	116
3777	135
3778	197
3779	255
3780	440
3781	692
3782	948
3783	205
3784	1446
3785	1468
3786	1153
3787	754
3788	528
3789	321
3790	224
3791	52
3792	159
3793	110
3794	70
3795	63
3796	29
3797	29
3798	19
3799	2
3800	14
3801	16
3802	9
3803	5
3804	6
3805	11
3806	6
3807	2
3808	12
3809	8
3810	8
3811	8
3812	3
3813	5
3814	4
3815	1
3816	7
3817	2
3818	2
3819	1
3820	3
3821	5
3822	5
3825	2
3826	2
3828	2
3829	3
3832	2
3833	1
3834	3
3835	1
3836	1
3837	2
3838	7
3839	1
3840	1
3842	1
3843	1
3844	1
3845	2
3848	1
3850	1
3852	1
3858	2
3859	2
3860	2
3864	1
3865	1
